,index,community_full,value,label,community,graph,color,marker
74,left caudal middle frontal,latpar_shap_3,0,lat-par,3,SHAP-derived graph,#D97F31,o
75,left caudal middle frontal,latpar_gt_3,0,lat-par,3,SUVR-derived graph,#D97F31,^
76,left caudal middle frontal,latpar_shap_4,0,lat-par,4,SHAP-derived graph,#814B91,o
77,left caudal middle frontal,latpar_gt_4,1,lat-par,4,SUVR-derived graph,#814B91,^
78,left caudal middle frontal,latpar_shap_5,0,lat-par,5,SHAP-derived graph,#71B8B4,o
79,left caudal middle frontal,latpar_gt_5,0,lat-par,5,SUVR-derived graph,#71B8B4,^
80,left caudal middle frontal,lattemp_shap_1,0,lat-temp,1,SHAP-derived graph,#C25954,o
81,left caudal middle frontal,lattemp_gt_1,0,lat-temp,1,SUVR-derived graph,#C25954,^
82,left caudal middle frontal,lattemp_shap_2,1,lat-temp,2,SHAP-derived graph,#939ABE,o
83,left caudal middle frontal,lattemp_gt_2,0,lat-temp,2,SUVR-derived graph,#939ABE,^
84,left caudal middle frontal,lattemp_shap_3,0,lat-temp,3,SHAP-derived graph,#D97F31,o
85,left caudal middle frontal,lattemp_gt_3,1,lat-temp,3,SUVR-derived graph,#D97F31,^
86,left caudal middle frontal,lattemp_shap_4,0,lat-temp,4,SHAP-derived graph,#814B91,o
87,left caudal middle frontal,lattemp_gt_4,0,lat-temp,4,SUVR-derived graph,#814B91,^
88,left caudal middle frontal,lattemp_shap_5,0,lat-temp,5,SHAP-derived graph,#71B8B4,o
89,left caudal middle frontal,lattemp_gt_5,0,lat-temp,5,SUVR-derived graph,#71B8B4,^
90,left caudal middle frontal,medpar_shap_1,0,med-par,1,SHAP-derived graph,#C25954,o
91,left caudal middle frontal,medpar_gt_1,1,med-par,1,SUVR-derived graph,#C25954,^
92,left caudal middle frontal,medpar_shap_2,1,med-par,2,SHAP-derived graph,#939ABE,o
93,left caudal middle frontal,medpar_gt_2,0,med-par,2,SUVR-derived graph,#939ABE,^
94,left caudal middle frontal,medpar_shap_3,0,med-par,3,SHAP-derived graph,#D97F31,o
95,left caudal middle frontal,medpar_gt_3,0,med-par,3,SUVR-derived graph,#D97F31,^
96,left caudal middle frontal,medpar_shap_4,0,med-par,4,SHAP-derived graph,#814B91,o
97,left caudal middle frontal,medpar_gt_4,0,med-par,4,SUVR-derived graph,#814B91,^
98,left caudal middle frontal,medpar_shap_5,0,med-par,5,SHAP-derived graph,#71B8B4,o
99,left caudal middle frontal,medpar_gt_5,0,med-par,5,SUVR-derived graph,#71B8B4,^
100,left caudal middle frontal,medtemp_shap_1,0,med-temp,1,SHAP-derived graph,#C25954,o
101,left caudal middle frontal,medtemp_gt_1,0,med-temp,1,SUVR-derived graph,#C25954,^
102,left caudal middle frontal,medtemp_shap_2,0,med-temp,2,SHAP-derived graph,#939ABE,o
103,left caudal middle frontal,medtemp_gt_2,1,med-temp,2,SUVR-derived graph,#939ABE,^
104,left caudal middle frontal,medtemp_shap_3,1,med-temp,3,SHAP-derived graph,#D97F31,o
105,left caudal middle frontal,medtemp_gt_3,0,med-temp,3,SUVR-derived graph,#D97F31,^
106,left caudal middle frontal,medtemp_shap_4,0,med-temp,4,SHAP-derived graph,#814B91,o
107,left caudal middle frontal,medtemp_gt_4,0,med-temp,4,SUVR-derived graph,#814B91,^
108,left caudal middle frontal,medtemp_shap_5,0,med-temp,5,SHAP-derived graph,#71B8B4,o
109,left caudal middle frontal,medtemp_gt_5,0,med-temp,5,SUVR-derived graph,#71B8B4,^
110,left caudal middle frontal,occ_shap_1,1,occipital,1,SHAP-derived graph,#C25954,o
111,left caudal middle frontal,occ_gt_1,1,occipital,1,SUVR-derived graph,#C25954,^
112,left caudal middle frontal,occ_shap_2,0,occipital,2,SHAP-derived graph,#939ABE,o
113,left caudal middle frontal,occ_gt_2,0,occipital,2,SUVR-derived graph,#939ABE,^
114,left caudal middle frontal,occ_shap_3,0,occipital,3,SHAP-derived graph,#D97F31,o
115,left caudal middle frontal,occ_gt_3,0,occipital,3,SUVR-derived graph,#D97F31,^
116,left caudal middle frontal,occ_shap_4,0,occipital,4,SHAP-derived graph,#814B91,o
117,left caudal middle frontal,occ_gt_4,0,occipital,4,SUVR-derived graph,#814B91,^
118,left caudal middle frontal,occ_shap_5,0,occipital,5,SHAP-derived graph,#71B8B4,o
119,left caudal middle frontal,occ_gt_5,0,occipital,5,SUVR-derived graph,#71B8B4,^
120,left cuneus,front_shap_1,0,frontal,1,SHAP-derived graph,#C25954,o
121,left cuneus,front_gt_1,1,frontal,1,SUVR-derived graph,#C25954,^
122,left cuneus,front_shap_2,0,frontal,2,SHAP-derived graph,#939ABE,o
123,left cuneus,front_gt_2,0,frontal,2,SUVR-derived graph,#939ABE,^
124,left cuneus,front_shap_3,1,frontal,3,SHAP-derived graph,#D97F31,o
125,left cuneus,front_gt_3,0,frontal,3,SUVR-derived graph,#D97F31,^
126,left cuneus,front_shap_4,0,frontal,4,SHAP-derived graph,#814B91,o
127,left cuneus,front_gt_4,0,frontal,4,SUVR-derived graph,#814B91,^
128,left cuneus,front_shap_5,0,frontal,5,SHAP-derived graph,#71B8B4,o
129,left cuneus,front_gt_5,0,frontal,5,SUVR-derived graph,#71B8B4,^
130,left cuneus,latpar_shap_1,1,lat-par,1,SHAP-derived graph,#C25954,o
131,left cuneus,latpar_gt_1,0,lat-par,1,SUVR-derived graph,#C25954,^
132,left cuneus,latpar_shap_2,0,lat-par,2,SHAP-derived graph,#939ABE,o
133,left cuneus,latpar_gt_2,1,lat-par,2,SUVR-derived graph,#939ABE,^
134,left cuneus,latpar_shap_3,0,lat-par,3,SHAP-derived graph,#D97F31,o
135,left cuneus,latpar_gt_3,0,lat-par,3,SUVR-derived graph,#D97F31,^
136,left cuneus,latpar_shap_4,0,lat-par,4,SHAP-derived graph,#814B91,o
137,left cuneus,latpar_gt_4,0,lat-par,4,SUVR-derived graph,#814B91,^
138,left cuneus,latpar_shap_5,0,lat-par,5,SHAP-derived graph,#71B8B4,o
139,left cuneus,latpar_gt_5,0,lat-par,5,SUVR-derived graph,#71B8B4,^
140,left cuneus,lattemp_shap_1,0,lat-temp,1,SHAP-derived graph,#C25954,o
141,left cuneus,lattemp_gt_1,0,lat-temp,1,SUVR-derived graph,#C25954,^
142,left cuneus,lattemp_shap_2,0,lat-temp,2,SHAP-derived graph,#939ABE,o
143,left cuneus,lattemp_gt_2,1,lat-temp,2,SUVR-derived graph,#939ABE,^
144,left cuneus,lattemp_shap_3,1,lat-temp,3,SHAP-derived graph,#D97F31,o
145,left cuneus,lattemp_gt_3,0,lat-temp,3,SUVR-derived graph,#D97F31,^
146,left cuneus,lattemp_shap_4,0,lat-temp,4,SHAP-derived graph,#814B91,o
147,left cuneus,lattemp_gt_4,0,lat-temp,4,SUVR-derived graph,#814B91,^
148,left cuneus,lattemp_shap_5,0,lat-temp,5,SHAP-derived graph,#71B8B4,o
149,left cuneus,lattemp_gt_5,0,lat-temp,5,SUVR-derived graph,#71B8B4,^
150,left cuneus,medpar_shap_1,0,med-par,1,SHAP-derived graph,#C25954,o
151,left cuneus,medpar_gt_1,1,med-par,1,SUVR-derived graph,#C25954,^
152,left cuneus,medpar_shap_2,0,med-par,2,SHAP-derived graph,#939ABE,o
153,left cuneus,medpar_gt_2,0,med-par,2,SUVR-derived graph,#939ABE,^
154,left cuneus,medpar_shap_3,1,med-par,3,SHAP-derived graph,#D97F31,o
155,left cuneus,medpar_gt_3,0,med-par,3,SUVR-derived graph,#D97F31,^
156,left cuneus,medpar_shap_4,0,med-par,4,SHAP-derived graph,#814B91,o
157,left cuneus,medpar_gt_4,0,med-par,4,SUVR-derived graph,#814B91,^
158,left cuneus,medpar_shap_5,0,med-par,5,SHAP-derived graph,#71B8B4,o
159,left cuneus,medpar_gt_5,0,med-par,5,SUVR-derived graph,#71B8B4,^
160,left cuneus,medtemp_shap_1,0,med-temp,1,SHAP-derived graph,#C25954,o
161,left cuneus,medtemp_gt_1,0,med-temp,1,SUVR-derived graph,#C25954,^
162,left cuneus,medtemp_shap_2,1,med-temp,2,SHAP-derived graph,#939ABE,o
163,left cuneus,medtemp_gt_2,0,med-temp,2,SUVR-derived graph,#939ABE,^
164,left cuneus,medtemp_shap_3,0,med-temp,3,SHAP-derived graph,#D97F31,o
165,left cuneus,medtemp_gt_3,0,med-temp,3,SUVR-derived graph,#D97F31,^
166,left cuneus,medtemp_shap_4,0,med-temp,4,SHAP-derived graph,#814B91,o
167,left cuneus,medtemp_gt_4,1,med-temp,4,SUVR-derived graph,#814B91,^
168,left cuneus,medtemp_shap_5,0,med-temp,5,SHAP-derived graph,#71B8B4,o
169,left cuneus,medtemp_gt_5,0,med-temp,5,SUVR-derived graph,#71B8B4,^
170,left cuneus,occ_shap_1,0,occipital,1,SHAP-derived graph,#C25954,o
171,left cuneus,occ_gt_1,0,occipital,1,SUVR-derived graph,#C25954,^
172,left cuneus,occ_shap_2,0,occipital,2,SHAP-derived graph,#939ABE,o
173,left cuneus,occ_gt_2,0,occipital,2,SUVR-derived graph,#939ABE,^
174,left cuneus,occ_shap_3,1,occipital,3,SHAP-derived graph,#D97F31,o
175,left cuneus,occ_gt_3,0,occipital,3,SUVR-derived graph,#D97F31,^
176,left cuneus,occ_shap_4,0,occipital,4,SHAP-derived graph,#814B91,o
177,left cuneus,occ_gt_4,1,occipital,4,SUVR-derived graph,#814B91,^
178,left cuneus,occ_shap_5,0,occipital,5,SHAP-derived graph,#71B8B4,o
179,left cuneus,occ_gt_5,0,occipital,5,SUVR-derived graph,#71B8B4,^
180,left entorhinal,front_shap_1,1,frontal,1,SHAP-derived graph,#C25954,o
181,left entorhinal,front_gt_1,0,frontal,1,SUVR-derived graph,#C25954,^
182,left entorhinal,front_shap_2,0,frontal,2,SHAP-derived graph,#939ABE,o
183,left entorhinal,front_gt_2,1,frontal,2,SUVR-derived graph,#939ABE,^
184,left entorhinal,front_shap_3,0,frontal,3,SHAP-derived graph,#D97F31,o
185,left entorhinal,front_gt_3,0,frontal,3,SUVR-derived graph,#D97F31,^
186,left entorhinal,front_shap_4,0,frontal,4,SHAP-derived graph,#814B91,o
187,left entorhinal,front_gt_4,0,frontal,4,SUVR-derived graph,#814B91,^
188,left entorhinal,front_shap_5,0,frontal,5,SHAP-derived graph,#71B8B4,o
189,left entorhinal,front_gt_5,0,frontal,5,SUVR-derived graph,#71B8B4,^
190,left entorhinal,latpar_shap_1,1,lat-par,1,SHAP-derived graph,#C25954,o
191,left entorhinal,latpar_gt_1,1,lat-par,1,SUVR-derived graph,#C25954,^
192,left entorhinal,latpar_shap_2,0,lat-par,2,SHAP-derived graph,#939ABE,o
193,left entorhinal,latpar_gt_2,0,lat-par,2,SUVR-derived graph,#939ABE,^
194,left entorhinal,latpar_shap_3,0,lat-par,3,SHAP-derived graph,#D97F31,o
195,left entorhinal,latpar_gt_3,0,lat-par,3,SUVR-derived graph,#D97F31,^
196,left entorhinal,latpar_shap_4,0,lat-par,4,SHAP-derived graph,#814B91,o
197,left entorhinal,latpar_gt_4,0,lat-par,4,SUVR-derived graph,#814B91,^
198,left entorhinal,latpar_shap_5,0,lat-par,5,SHAP-derived graph,#71B8B4,o
199,left entorhinal,latpar_gt_5,0,lat-par,5,SUVR-derived graph,#71B8B4,^
200,left entorhinal,lattemp_shap_1,1,lat-temp,1,SHAP-derived graph,#C25954,o
201,left entorhinal,lattemp_gt_1,1,lat-temp,1,SUVR-derived graph,#C25954,^
202,left entorhinal,lattemp_shap_2,0,lat-temp,2,SHAP-derived graph,#939ABE,o
203,left entorhinal,lattemp_gt_2,0,lat-temp,2,SUVR-derived graph,#939ABE,^
204,left entorhinal,lattemp_shap_3,0,lat-temp,3,SHAP-derived graph,#D97F31,o
205,left entorhinal,lattemp_gt_3,0,lat-temp,3,SUVR-derived graph,#D97F31,^
206,left entorhinal,lattemp_shap_4,0,lat-temp,4,SHAP-derived graph,#814B91,o
207,left entorhinal,lattemp_gt_4,0,lat-temp,4,SUVR-derived graph,#814B91,^
208,left entorhinal,lattemp_shap_5,0,lat-temp,5,SHAP-derived graph,#71B8B4,o
209,left entorhinal,lattemp_gt_5,0,lat-temp,5,SUVR-derived graph,#71B8B4,^
210,left entorhinal,medpar_shap_1,0,med-par,1,SHAP-derived graph,#C25954,o
211,left entorhinal,medpar_gt_1,0,med-par,1,SUVR-derived graph,#C25954,^
212,left entorhinal,medpar_shap_2,0,med-par,2,SHAP-derived graph,#939ABE,o
213,left entorhinal,medpar_gt_2,0,med-par,2,SUVR-derived graph,#939ABE,^
214,left entorhinal,medpar_shap_3,0,med-par,3,SHAP-derived graph,#D97F31,o
215,left entorhinal,medpar_gt_3,0,med-par,3,SUVR-derived graph,#D97F31,^
216,left entorhinal,medpar_shap_4,0,med-par,4,SHAP-derived graph,#814B91,o
217,left entorhinal,medpar_gt_4,0,med-par,4,SUVR-derived graph,#814B91,^
218,left entorhinal,medpar_shap_5,1,med-par,5,SHAP-derived graph,#71B8B4,o
219,left entorhinal,medpar_gt_5,1,med-par,5,SUVR-derived graph,#71B8B4,^
220,left entorhinal,medtemp_shap_1,1,med-temp,1,SHAP-derived graph,#C25954,o
221,left entorhinal,medtemp_gt_1,0,med-temp,1,SUVR-derived graph,#C25954,^
222,left entorhinal,medtemp_shap_2,0,med-temp,2,SHAP-derived graph,#939ABE,o
223,left entorhinal,medtemp_gt_2,1,med-temp,2,SUVR-derived graph,#939ABE,^
224,left entorhinal,medtemp_shap_3,0,med-temp,3,SHAP-derived graph,#D97F31,o
225,left entorhinal,medtemp_gt_3,0,med-temp,3,SUVR-derived graph,#D97F31,^
226,left entorhinal,medtemp_shap_4,0,med-temp,4,SHAP-derived graph,#814B91,o
227,left entorhinal,medtemp_gt_4,0,med-temp,4,SUVR-derived graph,#814B91,^
228,left entorhinal,medtemp_shap_5,0,med-temp,5,SHAP-derived graph,#71B8B4,o
229,left entorhinal,medtemp_gt_5,0,med-temp,5,SUVR-derived graph,#71B8B4,^
230,left entorhinal,occ_shap_1,0,occipital,1,SHAP-derived graph,#C25954,o
231,left entorhinal,occ_gt_1,0,occipital,1,SUVR-derived graph,#C25954,^
232,left entorhinal,occ_shap_2,1,occipital,2,SHAP-derived graph,#939ABE,o
233,left entorhinal,occ_gt_2,0,occipital,2,SUVR-derived graph,#939ABE,^
234,left entorhinal,occ_shap_3,0,occipital,3,SHAP-derived graph,#D97F31,o
235,left entorhinal,occ_gt_3,0,occipital,3,SUVR-derived graph,#D97F31,^
236,left entorhinal,occ_shap_4,0,occipital,4,SHAP-derived graph,#814B91,o
237,left entorhinal,occ_gt_4,0,occipital,4,SUVR-derived graph,#814B91,^
238,left entorhinal,occ_shap_5,0,occipital,5,SHAP-derived graph,#71B8B4,o
239,left entorhinal,occ_gt_5,1,occipital,5,SUVR-derived graph,#71B8B4,^
240,left fusiform,front_shap_1,1,frontal,1,SHAP-derived graph,#C25954,o
241,left fusiform,front_gt_1,0,frontal,1,SUVR-derived graph,#C25954,^
242,left fusiform,front_shap_2,0,frontal,2,SHAP-derived graph,#939ABE,o
243,left fusiform,front_gt_2,1,frontal,2,SUVR-derived graph,#939ABE,^
244,left fusiform,front_shap_3,0,frontal,3,SHAP-derived graph,#D97F31,o
245,left fusiform,front_gt_3,0,frontal,3,SUVR-derived graph,#D97F31,^
246,left fusiform,front_shap_4,0,frontal,4,SHAP-derived graph,#814B91,o
247,left fusiform,front_gt_4,0,frontal,4,SUVR-derived graph,#814B91,^
248,left fusiform,front_shap_5,0,frontal,5,SHAP-derived graph,#71B8B4,o
249,left fusiform,front_gt_5,0,frontal,5,SUVR-derived graph,#71B8B4,^
250,left fusiform,latpar_shap_1,1,lat-par,1,SHAP-derived graph,#C25954,o
251,left fusiform,latpar_gt_1,1,lat-par,1,SUVR-derived graph,#C25954,^
252,left fusiform,latpar_shap_2,0,lat-par,2,SHAP-derived graph,#939ABE,o
253,left fusiform,latpar_gt_2,0,lat-par,2,SUVR-derived graph,#939ABE,^
254,left fusiform,latpar_shap_3,0,lat-par,3,SHAP-derived graph,#D97F31,o
255,left fusiform,latpar_gt_3,0,lat-par,3,SUVR-derived graph,#D97F31,^
256,left fusiform,latpar_shap_4,0,lat-par,4,SHAP-derived graph,#814B91,o
257,left fusiform,latpar_gt_4,0,lat-par,4,SUVR-derived graph,#814B91,^
258,left fusiform,latpar_shap_5,0,lat-par,5,SHAP-derived graph,#71B8B4,o
259,left fusiform,latpar_gt_5,0,lat-par,5,SUVR-derived graph,#71B8B4,^
260,left fusiform,lattemp_shap_1,0,lat-temp,1,SHAP-derived graph,#C25954,o
261,left fusiform,lattemp_gt_1,1,lat-temp,1,SUVR-derived graph,#C25954,^
262,left fusiform,lattemp_shap_2,0,lat-temp,2,SHAP-derived graph,#939ABE,o
263,left fusiform,lattemp_gt_2,0,lat-temp,2,SUVR-derived graph,#939ABE,^
264,left fusiform,lattemp_shap_3,0,lat-temp,3,SHAP-derived graph,#D97F31,o
265,left fusiform,lattemp_gt_3,0,lat-temp,3,SUVR-derived graph,#D97F31,^
266,left fusiform,lattemp_shap_4,0,lat-temp,4,SHAP-derived graph,#814B91,o
267,left fusiform,lattemp_gt_4,0,lat-temp,4,SUVR-derived graph,#814B91,^
268,left fusiform,lattemp_shap_5,1,lat-temp,5,SHAP-derived graph,#71B8B4,o
269,left fusiform,lattemp_gt_5,0,lat-temp,5,SUVR-derived graph,#71B8B4,^
270,left fusiform,medpar_shap_1,0,med-par,1,SHAP-derived graph,#C25954,o
271,left fusiform,medpar_gt_1,1,med-par,1,SUVR-derived graph,#C25954,^
272,left fusiform,medpar_shap_2,0,med-par,2,SHAP-derived graph,#939ABE,o
273,left fusiform,medpar_gt_2,0,med-par,2,SUVR-derived graph,#939ABE,^
274,left fusiform,medpar_shap_3,0,med-par,3,SHAP-derived graph,#D97F31,o
275,left fusiform,medpar_gt_3,0,med-par,3,SUVR-derived graph,#D97F31,^
276,left fusiform,medpar_shap_4,0,med-par,4,SHAP-derived graph,#814B91,o
277,left fusiform,medpar_gt_4,0,med-par,4,SUVR-derived graph,#814B91,^
278,left fusiform,medpar_shap_5,1,med-par,5,SHAP-derived graph,#71B8B4,o
279,left fusiform,medpar_gt_5,0,med-par,5,SUVR-derived graph,#71B8B4,^
280,left fusiform,medtemp_shap_1,1,med-temp,1,SHAP-derived graph,#C25954,o
281,left fusiform,medtemp_gt_1,0,med-temp,1,SUVR-derived graph,#C25954,^
282,left fusiform,medtemp_shap_2,0,med-temp,2,SHAP-derived graph,#939ABE,o
283,left fusiform,medtemp_gt_2,0,med-temp,2,SUVR-derived graph,#939ABE,^
284,left fusiform,medtemp_shap_3,0,med-temp,3,SHAP-derived graph,#D97F31,o
285,left fusiform,medtemp_gt_3,1,med-temp,3,SUVR-derived graph,#D97F31,^
286,left fusiform,medtemp_shap_4,0,med-temp,4,SHAP-derived graph,#814B91,o
287,left fusiform,medtemp_gt_4,0,med-temp,4,SUVR-derived graph,#814B91,^
288,left fusiform,medtemp_shap_5,0,med-temp,5,SHAP-derived graph,#71B8B4,o
289,left fusiform,medtemp_gt_5,0,med-temp,5,SUVR-derived graph,#71B8B4,^
290,left fusiform,occ_shap_1,0,occipital,1,SHAP-derived graph,#C25954,o
291,left fusiform,occ_gt_1,0,occipital,1,SUVR-derived graph,#C25954,^
292,left fusiform,occ_shap_2,0,occipital,2,SHAP-derived graph,#939ABE,o
293,left fusiform,occ_gt_2,0,occipital,2,SUVR-derived graph,#939ABE,^
294,left fusiform,occ_shap_3,0,occipital,3,SHAP-derived graph,#D97F31,o
295,left fusiform,occ_gt_3,1,occipital,3,SUVR-derived graph,#D97F31,^
296,left fusiform,occ_shap_4,0,occipital,4,SHAP-derived graph,#814B91,o
297,left fusiform,occ_gt_4,0,occipital,4,SUVR-derived graph,#814B91,^
298,left fusiform,occ_shap_5,1,occipital,5,SHAP-derived graph,#71B8B4,o
299,left fusiform,occ_gt_5,0,occipital,5,SUVR-derived graph,#71B8B4,^
300,left inferior parietal,front_shap_1,0,frontal,1,SHAP-derived graph,#C25954,o
301,left inferior parietal,front_gt_1,1,frontal,1,SUVR-derived graph,#C25954,^
302,left inferior parietal,front_shap_2,1,frontal,2,SHAP-derived graph,#939ABE,o
303,left inferior parietal,front_gt_2,0,frontal,2,SUVR-derived graph,#939ABE,^
304,left inferior parietal,front_shap_3,0,frontal,3,SHAP-derived graph,#D97F31,o
305,left inferior parietal,front_gt_3,0,frontal,3,SUVR-derived graph,#D97F31,^
306,left inferior parietal,front_shap_4,0,frontal,4,SHAP-derived graph,#814B91,o
